,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
371,0.6373988151550293,0.04759095424185581,0.07074799537658691,0.0016434129713185032,False,balanced,entropy,,auto,1,5,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8217054263565892,0.8372093023255814,0.8837209302325582,0.8372093023255814,0.8984375,0.8556564922480622,0.029836554127098115,128,0.9056331246990852,0.9162253249879634,0.9542609532980261,0.9162253249879634,0.9508196721311475,0.9286328800208372,0.019929553295019605,94,0.8368794326241135,0.851063829787234,0.887218045112782,0.851063829787234,0.8992248062015503,0.8650899887025828,0.02385010854597721,140
0,0.3201285362243652,0.011424522921126279,0.05521359443664551,0.002231384106119175,True,,gini,10,auto,1,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8217054263565892,0.8062015503875969,0.8837209302325582,0.8372093023255814,0.90625,0.8510174418604652,0.03789057067177244,264,0.9136976408281174,0.9051516610495908,0.9516129032258065,0.9180308136735676,0.9544898458527037,0.9285965729259573,0.02041318388912825,95,0.8368794326241135,0.8251748251748251,0.887218045112782,0.8489208633093526,0.9104477611940298,0.8617281854830207,0.032065452347127855,255
349,0.9566905975341797,0.08941207511989542,0.1328104019165039,0.014429026309660592,False,balanced,entropy,10,log2,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8294573643410853,0.813953488372093,0.8992248062015504,0.8449612403100775,0.8671875,0.8509568798449612,0.029868557334462163,302,0.9046701974000964,0.917910447761194,0.9545016851227732,0.9155031295137217,0.9503303156349401,0.9285831550865451,0.02000766096828278,96,0.8428571428571429,0.8309859154929576,0.9037037037037037,0.8571428571428571,0.8721804511278195,0.8613740140648961,0.025269726749428793,268
325,0.5749884128570557,0.013478223558060522,0.07273082733154297,0.0029659689596727517,False,balanced,gini,,auto,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8217054263565892,0.7829457364341085,0.8914728682170543,0.8449612403100775,0.890625,0.8463420542635658,0.04153488376614266,362,0.9104477611940298,0.9118921521425132,0.9537794896485315,0.9162253249879634,0.9500856373868363,0.928486073071975,0.01927362421292839,97,0.8345323741007193,0.8028169014084507,0.8955223880597015,0.8550724637681161,0.8939393939393939,0.8563767042552763,0.035470744285852854,367
131,1.155542755126953,0.07119064998845011,0.1301273822784424,0.022629636638866264,True,balanced,gini,,auto,1,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8372093023255814,0.8062015503875969,0.8914728682170543,0.8372093023255814,0.8828125,0.850981104651163,0.03174068116837902,285,0.908521906596052,0.9164660568127106,0.9535387578237843,0.9145402022147328,0.9493516026425252,0.928483705217961,0.018976529489965237,98,0.8489208633093526,0.8251748251748251,0.8955223880597015,0.8489208633093526,0.8854961832061069,0.8608070246118678,0.02594966785585776,289
373,0.5949770450592041,0.008599778385788953,0.07584285736083984,0.008615069734398172,False,balanced,entropy,,auto,2,2,200,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8372093023255814,0.8294573643410853,0.8914728682170543,0.8527131782945736,0.8828125,0.8587330426356589,0.024528725809912767,75,0.9070775156475686,0.917910447761194,0.9513721714010591,0.9186326432354357,0.9473941766576951,0.9284773909405905,0.01759857813740385,99,0.8489208633093526,0.8450704225352113,0.8955223880597015,0.8652482269503546,0.8854961832061069,0.8680516168121454,0.01980371775351734,62
129,0.6310429096221923,0.02015837186112421,0.07626242637634277,0.0035266482821406206,True,balanced,gini,,auto,1,2,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.8372093023255814,0.8062015503875969,0.8992248062015504,0.8449612403100775,0.890625,0.8556443798449612,0.03470294594431589,143,0.9112903225806452,0.9075589792970631,0.9530572941742899,0.9181511795859413,0.952165402495718,0.9284446356267315,0.020024455424801597,100,0.8489208633093526,0.8251748251748251,0.9022556390977443,0.8550724637681161,0.8939393939393939,0.8650726370578864,0.028874154351798943,141
128,0.3105640888214111,0.004504296935158607,0.05196866989135742,0.0016605418001681704,True,balanced,gini,,auto,1,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.813953488372093,0.813953488372093,0.875968992248062,0.8527131782945736,0.8984375,0.8510053294573643,0.033530851064595704,269,0.9106884930187771,0.92043813192104,0.9498074145402021,0.9129754453538758,0.9481282114020064,0.9284075392471802,0.017102544530572153,101,0.8285714285714286,0.8309859154929576,0.8805970149253731,0.8633093525179857,0.9022556390977443,0.8611438701210978,0.028438557913635726,279
159,0.6200164794921875,0.050869801997302934,0.08998708724975586,0.04054925942179967,True,balanced,entropy,10,log2,2,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 200}",0.8217054263565892,0.8372093023255814,0.8837209302325582,0.8449612403100775,0.90625,0.8587693798449612,0.03132483827666651,41,0.9106884930187771,0.91478093403948,0.948001925854598,0.9167067886374579,0.9517983851235625,0.9283953053347751,0.01770665096822257,102,0.8368794326241135,0.851063829787234,0.887218045112782,0.8550724637681161,0.9090909090909091,0.867864936076631,0.02638237906200593,65
238,0.25702610015869143,0.009023798436591712,0.05109000205993652,0.00130846456063316,False,,gini,,log2,2,5,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8372093023255814,0.7906976744186046,0.8837209302325582,0.8372093023255814,0.890625,0.8478924418604652,0.036357261908867754,335,0.9090033702455464,0.9142994703899856,0.954260953298026,0.9191141068849302,0.9451920724247614,0.9283739946486499,0.01795573007409259,103,0.8489208633093526,0.8111888111888113,0.887218045112782,0.851063829787234,0.8939393939393939,0.8584661886675148,0.029886706462103174,334
156,0.3131729602813721,0.012411372636069054,0.053412866592407224,0.002065320409955499,True,balanced,entropy,10,log2,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8372093023255814,0.8217054263565892,0.8837209302325582,0.8527131782945736,0.8984375,0.8587572674418604,0.028535556969775895,52,0.9106884930187771,0.9133365430909967,0.9508907077515647,0.9121328839672604,0.9547345241008074,0.9283566303858812,0.020022756892012026,104,0.8489208633093526,0.8368794326241135,0.887218045112782,0.8633093525179857,0.9007633587786259,0.8674182104685719,0.023645650278973175,74
61,0.9164669990539551,0.2591609384526766,0.1030501365661621,0.029262379972862244,True,,entropy,10,log2,2,2,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8217054263565892,0.8294573643410853,0.8914728682170543,0.8527131782945736,0.8984375,0.8587572674418604,0.031345448323778245,52,0.9058738565238325,0.9167067886374579,0.9504092441020702,0.915743861338469,0.9530217763640813,0.9283511053931821,0.019467731873807646,105,0.8368794326241135,0.8428571428571429,0.8955223880597015,0.8633093525179857,0.9022556390977443,0.8681647910313377,0.026658769765266387,59
