,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_class_weight,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
40,0.5839600563049316,0.07386972195995022,0.06457996368408203,0.0034469718925527605,True,,gini,,log2,1,2,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.8859649122807017,0.8070175438596491,0.8495575221238938,0.8672566371681416,0.911504424778761,0.8642602080422295,0.035227774169162146,42,0.9310185185185185,0.8898305084745762,0.915881983678594,0.9298493408662901,0.9591964846202135,0.9251553672316385,0.02257896761717268,112,0.8925619834710743,0.8307692307692307,0.8617886178861789,0.8695652173913044,0.9152542372881356,0.8739878573611849,0.028580213944573662,53
350,0.31995325088500975,0.06258119437988753,0.04359350204467773,0.011675728607015498,False,balanced,entropy,10,log2,2,5,100,"{'bootstrap': False, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8771929824561403,0.8157894736842105,0.8495575221238938,0.8584070796460177,0.9203539823008849,0.8642602080422292,0.03439072066434058,51,0.9271604938271605,0.9001540832049306,0.9152542372881355,0.9318895166352794,0.951035781544256,0.9250988224999525,0.01698379072207503,113,0.8833333333333333,0.8396946564885496,0.8617886178861789,0.8620689655172413,0.9217391304347826,0.8737249407320171,0.027691447878985753,56
205,0.47988166809082033,0.007687319760811883,0.05318508148193359,0.0012292236337361241,False,,gini,10,log2,2,2,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.868421052631579,0.8157894736842105,0.8407079646017699,0.8672566371681416,0.911504424778761,0.8607359105728924,0.031938453711080436,128,0.9219135802469136,0.8967642526964561,0.9155681104833647,0.931261770244821,0.9598242310106717,0.9250663889364453,0.02072514775418977,114,0.8760330578512396,0.8396946564885496,0.8524590163934426,0.8717948717948718,0.9137931034482759,0.870754941195276,0.02522183788552583,155
19,1.1767266750335694,0.12152344180703528,0.08829450607299805,0.027837862173503307,True,,gini,20,auto,1,5,200,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8070175438596491,0.8407079646017699,0.8672566371681416,0.8938053097345132,0.8571960875640429,0.030433764337333538,260,0.9287037037037037,0.8939907550077042,0.9108600125549278,0.9318895166352794,0.9598242310106717,0.9250536437824574,0.022069925499372627,115,0.8852459016393444,0.8307692307692307,0.8548387096774194,0.8739495798319329,0.8965517241379309,0.8682710292111716,0.023268012511095577,240
14,0.2967552661895752,0.011721880971900496,0.03398432731628418,0.0012110031348320338,True,,gini,10,log2,2,5,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.868421052631579,0.8157894736842105,0.8407079646017699,0.8495575221238938,0.8938053097345132,0.8536562645551934,0.026261366330868462,345,0.9253086419753087,0.898613251155624,0.9127432517263026,0.9300062774639046,0.9585687382297552,0.925048032110179,0.019992474172324314,116,0.8760330578512396,0.8396946564885496,0.8548387096774194,0.8547008547008546,0.8983050847457628,0.8647144726927654,0.020397225455441446,326
90,0.3654613971710205,0.07555852701552264,0.04685673713684082,0.020625157799055414,True,,entropy,,log2,1,5,100,"{'bootstrap': True, 'class_weight': None, 'criterion': 'entropy', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",0.8771929824561403,0.8157894736842105,0.8495575221238938,0.8761061946902655,0.8938053097345132,0.8624902965378046,0.027314520740680526,79,0.9336419753086419,0.8890600924499229,0.9127432517263027,0.9246704331450094,0.9648462021343378,0.924992390952843,0.024917530854972246,117,0.8852459016393444,0.8421052631578948,0.8617886178861789,0.8813559322033898,0.9,0.8740991429773615,0.02011428838895261,50
254,0.2527148246765137,0.007854114698091741,0.0390810489654541,0.009901007323075414,False,,entropy,10,log2,2,5,100,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",0.8771929824561403,0.8070175438596491,0.8584070796460177,0.8584070796460177,0.911504424778761,0.8625058220773172,0.03385003440259647,68,0.9243827160493827,0.8946070878274268,0.9174513496547395,0.9306340238543629,0.9576271186440678,0.9249404592059959,0.02038305983955938,118,0.8852459016393444,0.8333333333333333,0.8688524590163935,0.864406779661017,0.9152542372881356,0.8734185421876447,0.026829076631139696,64
179,0.6058266639709473,0.014387442718682544,0.05231561660766602,0.0018639578822928942,True,balanced,entropy,,auto,1,5,200,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'entropy', 'max_depth': None, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",0.8771929824561403,0.8245614035087719,0.8495575221238938,0.8672566371681416,0.911504424778761,0.8660145940071418,0.028931042015888676,20,0.9209876543209876,0.9016949152542373,0.9121155053358443,0.9296924042686755,0.9601381042059007,0.924925716677129,0.019909362272814604,119,0.8852459016393444,0.846153846153846,0.859504132231405,0.8717948717948718,0.9152542372881356,0.8755905978215205,0.02369022350062487,20
140,0.2832148551940918,0.008885575643048513,0.033228158950805664,0.0014284133624610281,True,balanced,gini,,log2,2,2,100,"{'bootstrap': True, 'class_weight': 'balanced', 'criterion': 'gini', 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",0.8771929824561403,0.8421052631578947,0.8495575221238938,0.8672566371681416,0.8672566371681416,0.8606738084148425,0.012867890842394205,190,0.9271604938271605,0.9016949152542373,0.9108600125549278,0.9259259259259259,0.9588826114249843,0.9249047917974471,0.019476022829719594,120,0.8852459016393444,0.8615384615384616,0.8571428571428572,0.8717948717948718,0.8739495798319329,0.8699343343894936,0.009880692871741903,186
245,0.8841563701629639,0.11633789445680874,0.09559392929077148,0.013867670398251564,False,,entropy,10,auto,2,2,200,"{'bootstrap': False, 'class_weight': None, 'criterion': 'entropy', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",0.8596491228070176,0.8070175438596491,0.8495575221238938,0.8761061946902655,0.911504424778761,0.8607669616519175,0.034133512113393674,111,0.9268518518518518,0.8939907550077042,0.9183929692404268,0.9278091650973007,0.9573132454488387,0.9248715973292244,0.0203007895880079,121,0.8666666666666667,0.8333333333333333,0.8617886178861789,0.8793103448275862,0.9152542372881356,0.8712706400003801,0.02664409215965654,135
